,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_newHome,listingSubType.is_openHouse,listingSubType.is_FSBA
10,,SINGLE_FAMILY,1.3,"9727 Audubon Pl, Dallas, TX 75220",-1,18900000,,-96.82692,32.8747,,FOR_SALE,26759613,https://photos.zillowstatic.com/fp/6a29ab456456d8c898ad7433a3382798-p_e.jpg,18769,15,acres,USA,USD,7,True,,,True
11,,SINGLE_FAMILY,8189.28,"7411 Gayglen Dr, Dallas, TX 75217",-1,120000,,-96.69434,32.70964,,FOR_SALE,26798044,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.70964050292969,-96.69434356689453&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=6PcsPLKRkh1y4x26cc_s5Sz0UJI=",1041,2,sqft,USA,USD,3,,,,True
12,,SINGLE_FAMILY,7579.44,"(undisclosed Address), Dallas, TX 75228",-1,260000,,,,,FOR_SALE,26844776,https://photos.zillowstatic.com/fp/8ff49a516f5633ef8929e5595e52466b-p_e.jpg,1208,2,sqft,USA,USD,4,True,,,True
13,,SINGLE_FAMILY,5270.76,"2719 Gertrude Ave, Dallas, TX 75210",-1,259900,,-96.74785,32.770645,,FOR_SALE,26688558,https://photos.zillowstatic.com/fp/9a92dd05ba7b60f7fc5b639376dfb3e1-p_e.jpg,1530,2,sqft,USA,USD,4,True,,True,True
14,,SINGLE_FAMILY,0.321,"1125 Carbona Dr, Dallas, TX 75217",-1,170000,,-96.69196,32.73102,,FOR_SALE,26799319,https://photos.zillowstatic.com/fp/2103f3e03f23fd8777688c0f6e6a5084-p_e.jpg,896,1,acres,USA,USD,2,True,,,True
15,,SINGLE_FAMILY,6795.36,"2442 Emmett St, Dallas, TX 75211",-1,349999,,-96.85869,32.732754,,FOR_SALE,26717211,https://photos.zillowstatic.com/fp/51abe57e422fb9c8fa7dea04c50e0e67-p_e.jpg,1316,2,sqft,USA,USD,3,True,,,True
16,,SINGLE_FAMILY,7318.08,"2151 Major Dr, Dallas, TX 75227",-1,239900,,-96.68787,32.750652,,FOR_SALE,26793084,https://photos.zillowstatic.com/fp/410492e6bcbabdf263da1e023cef4566-p_e.jpg,1364,2,sqft,USA,USD,4,True,,,True
17,,SINGLE_FAMILY,6820.0,"5738 Ellsworth Ave, Dallas, TX 75206",-1,640000,,-96.76833,32.833687,,FOR_SALE,26703998,https://photos.zillowstatic.com/fp/29707fc7097cb3ca1e543354dce495d0-p_e.jpg,1455,2,sqft,USA,USD,2,True,,,True
18,,SINGLE_FAMILY,0.5,"9014 Rockbrook Dr, Dallas, TX 75220",-1,2995000,,-96.832405,32.86401,,FOR_SALE,26759343,https://photos.zillowstatic.com/fp/4237b06a6e506e16b127953f6425ab8e-p_e.jpg,6616,5,acres,USA,USD,5,True,,,True
19,,SINGLE_FAMILY,0.454,"6938 Desco Pl, Dallas, TX 75225",-1,1200000,,-96.78514,32.873672,,FOR_SALE,26752251,https://photos.zillowstatic.com/fp/297767132eaacdf64ec1ca84d0a6a997-p_e.jpg,3053,4,acres,USA,USD,4,True,,,True
20,,SINGLE_FAMILY,10149.48,"6140 Lake Vista Dr, Dallas, TX 75249",-1,290000,,-96.9666,32.647823,,FOR_SALE,26914721,https://photos.zillowstatic.com/fp/c4cef9123502afd08d13a6e5677fdcfa-p_e.jpg,1439,2,sqft,USA,USD,3,True,,,True
21,,SINGLE_FAMILY,0.317,"4914 Burnside Ave, Dallas, TX 75216",-1,344900,,-96.79507,32.687157,,FOR_SALE,96530253,https://photos.zillowstatic.com/fp/f0c7eb1fedff44f8bb3d0704df9b49a6-p_e.jpg,1634,2,acres,USA,USD,4,True,True,,
22,,SINGLE_FAMILY,7840.8,"5315 Grovewood St, Dallas, TX 75210",-1,180000,,-96.735725,32.761715,,FOR_SALE,26862722,https://photos.zillowstatic.com/fp/7ead12c4adde469879f88b6af94b7a73-p_e.jpg,1116,2,sqft,USA,USD,4,True,,,True
23,,SINGLE_FAMILY,0.259,"9209 Arbor Trail Dr, Dallas, TX 75243",-1,769000,,-96.74414,32.90297,,FOR_SALE,26869915,https://photos.zillowstatic.com/fp/49fcc5abeed965ab3fdb6fea5e6fe8eb-p_e.jpg,3324,3,acres,USA,USD,5,True,,,True
24,,SINGLE_FAMILY,7492.32,"9720 Brierwyck Dr, Dallas, TX 75217",-1,235000,,-96.654366,32.687923,,FOR_SALE,67963765,https://photos.zillowstatic.com/fp/cf36976d67832aff79d10f5ea1e96ab5-p_e.jpg,1229,2,sqft,USA,USD,3,True,,,True
25,,SINGLE_FAMILY,7187.4,"3310 Pacesetter Dr, Dallas, TX 75241",-1,175000,,-96.76981,32.663666,,FOR_SALE,26878628,https://photos.zillowstatic.com/fp/ef06c853a1d859771c85888ab0893b8f-p_e.jpg,1100,2,sqft,USA,USD,3,True,,,True
26,,SINGLE_FAMILY,5924.16,"2906 Dorris St, Dallas, TX 75215",-1,279900,,-96.74936,32.74252,,FOR_SALE,96505172,https://photos.zillowstatic.com/fp/55836557c8b689e74db2acbcfcf6b966-p_e.jpg,1420,2,sqft,USA,USD,3,True,True,,
27,,SINGLE_FAMILY,8232.84,"2644 Almeda Dr, Dallas, TX 75216",-1,220000,,-96.79606,32.71647,,FOR_SALE,26767620,https://photos.zillowstatic.com/fp/735c42bb23b6833119ea64686df86825-p_e.jpg,1221,1,sqft,USA,USD,3,True,,,True
28,,SINGLE_FAMILY,7666.56,"3721 Ovid Ave, Dallas, TX 75224",-1,250000,,-96.853966,32.69726,,FOR_SALE,26779641,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.697261810302734,-96.85396575927734&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=JA7euIFL6dQ01rk5BCviCViCb_w=",1427,2,sqft,USA,USD,3,,,,True
29,,SINGLE_FAMILY,8319.96,"4922 Junius St, Dallas, TX 75214",-1,899000,,-96.76721,32.799793,,FOR_SALE,26678443,https://photos.zillowstatic.com/fp/03b9d7cb6b512ddfca8a3a2c2bac15d4-p_e.jpg,3694,4,sqft,USA,USD,4,True,,,True
30,,SINGLE_FAMILY,3528.36,"528 E 5th St, Dallas, TX 75203",-1,429900,,-96.8163,32.754665,,FOR_SALE,26708016,https://photos.zillowstatic.com/fp/e4ac691488731ebe93d9a4d71055df56-p_e.jpg,1512,3,sqft,USA,USD,2,True,,True,True
31,,SINGLE_FAMILY,8624.88,"5810 Hillcroft St, Dallas, TX 75227",-1,350000,,-96.70221,32.78689,,FOR_SALE,26785347,https://photos.zillowstatic.com/fp/11000f9b7adc9d3a0ab04e82e48d0fc3-p_e.jpg,1843,2,sqft,USA,USD,3,True,,,True
32,,SINGLE_FAMILY,7579.44,"1422 Claude St, Dallas, TX 75203",-1,375000,,-96.80119,32.73988,,FOR_SALE,96510106,https://photos.zillowstatic.com/fp/d8fcffdd02c60dddd942bb625194a491-p_e.jpg,2016,2,sqft,USA,USD,4,True,True,,
33,,SINGLE_FAMILY,5357.88,"5237 Garland Ave, Dallas, TX 75223",-1,339000,,-96.755264,32.79451,,FOR_SALE,26681052,https://photos.zillowstatic.com/fp/2802ff295294f53e8404f2a789f7cf15-p_e.jpg,1662,2,sqft,USA,USD,4,True,,,True
34,,SINGLE_FAMILY,8058.6,"6419 Lazy River Dr, Dallas, TX 75241",-1,189900,,-96.80007,32.66983,,FOR_SALE,26823794,https://photos.zillowstatic.com/fp/7c15df74da3a88f47840b004759fb84d-p_e.jpg,1191,2,sqft,USA,USD,3,True,,,True
35,,SINGLE_FAMILY,7971.48,"6816 Hollis Ave, Dallas, TX 75227",-1,188900,,-96.70243,32.76654,,FOR_SALE,26764615,https://photos.zillowstatic.com/fp/bd0ef49713ab8e814f71025230ea4099-p_e.jpg,1189,1,sqft,USA,USD,3,True,,,True
36,,SINGLE_FAMILY,7797.24,"1400 E Kiest Blvd, Dallas, TX 75216",-1,214900,,-96.80331,32.70746,,FOR_SALE,26720752,https://photos.zillowstatic.com/fp/90c6675e87e01e0a0656d4e7b425f06d-p_e.jpg,1100,2,sqft,USA,USD,3,True,,,True
37,,SINGLE_FAMILY,7927.92,"1531 Southerland Ave, Dallas, TX 75203",-1,360000,,-96.80226,32.720966,,FOR_SALE,26723138,https://photos.zillowstatic.com/fp/b2124c56a2d19867452e90422ee33f81-p_e.jpg,2080,3,sqft,USA,USD,4,True,,,True
38,,SINGLE_FAMILY,7187.4,"1023 Woodlawn Ave, Dallas, TX 75208",-1,599999,,-96.83065,32.75546,,FOR_SALE,26710683,https://photos.zillowstatic.com/fp/92d208f318e5f437f0d60d47ba73e342-p_e.jpg,1873,2,sqft,USA,USD,3,True,,,True
39,,SINGLE_FAMILY,8973.36,"10420 Solta Dr, Dallas, TX 75218",-1,519500,,-96.70645,32.85978,,FOR_SALE,26831946,https://photos.zillowstatic.com/fp/fc7a56153cee528d18cc1710fb0ab7b5-p_e.jpg,1430,2,sqft,USA,USD,2,True,,,True
